     0          0.00000315
     1          0.00002081
     2          0.00025567
     3          0.00307234
     4          0.02799892
     5          0.13290043
     6          0.28314687
     7          0.28536980
     8          0.16386566
     9          0.06844234
    10          0.02357597
    11          0.00703400
    12          0.00239275
    13          0.00125467
    14          0.00049167
    15          0.00013328
    16          0.00003211
    17          0.00000725
    18          0.00000168
    19          0.00000051
    20          0.00000009
    21          0.00000002
