
0  1.0
1  1.0
2  1.0
3  1.0
4  1.0
5  1.0
6  1.0
7  1.0
8  2.0
9  14.0
10  57.0
11  184.0
12  651.0
13  2322.0
14  8010.0
15  21955.0
16  46723.0
17  79147.0
18  113853.0
19  146559.0
20  175456.0
21  200538.0
22  220965.0
23  237872.0
24  251566.0
25  262658.0
26  271849.0
27  279345.0
28  285376.0
29  290503.0
30  294676.0
31  298113.0
32  300973.0
33  303310.0
34  305346.0
35  306953.0
36  308348.0
37  309583.0
38  310625.0
39  311521.0
40  312283.0
41  312964.0
42  313511.0
43  313970.0
44  314351.0
45  314726.0
46  315006.0
47  315264.0
48  315491.0
49  315685.0
50  315861.0
51  316008.0
52  316145.0
53  316261.0
54  316356.0
55  316457.0
56  316536.0
57  316602.0
58  316655.0
59  316718.0
60  316754.0
61  316797.0
62  316825.0
63  316855.0
64  316878.0
65  316900.0
66  316926.0
67  316939.0
68  316951.0
69  316961.0
70  316977.0
71  316990.0
72  316995.0
73  317004.0
74  317014.0
75  317024.0
76  317029.0
77  317040.0
78  317044.0
79  317049.0
80  317052.0
81  317062.0
82  317064.0
83  317064.0
84  317065.0
85  317067.0
86  317068.0
87  317069.0
88  317071.0
89  317072.0
